fid,OBJECTID,PROV,MUN,DM,SECC,BP,BP_AREA_km,TOPONIMIA,ENLACE,TOPO2,RUP
1,1,05,04,01,02,001,20.7132600841,CRUZ DE CABRERA ABAJO,05040102001,Cruz De Cabrera Abajo,04
2,2,05,04,01,03,003,5.35317283947,EL CARRIZAL,05040103003,El Carrizal,04
3,3,05,04,01,05,018,7.90870410907,EL MANIEL,05040105018,El Maniel,04
4,4,05,04,01,04,006,33.607728311,KILÓMETRO 4,05040104006,Kilómetro 4,04
11028,11036,07,05,01,04,001,10.9295176776,GUAYAJAYUCO,07050104001,Guayajayuco,07
5,5,05,04,01,03,005,3.97313933813,LOS HOYOS DE JIMÉNEZ,05040103005,Los Hoyos De Jiménez,04
9,9,05,04,01,03,006,5.60379531956,FONDO GRANDE,05040103006,Fondo Grande,04
491,491,25,03,01,03,003,0.49457484572,CEBÚ,25030103003,Cebú,01
6,6,05,04,01,03,002,9.60147236542,JIMÉNEZ ABAJO,05040103002,Jiménez Abajo,04
7,7,05,04,01,03,008,5.96529122447,VARA DE VACA,05040103008,Vara De Vaca,04
8,8,05,04,01,03,009,3.54135855654,MARIANO CESTERO,05040103009,Mariano Cestero,04
201,201,05,01,01,01,005,0.47293179027,MEJORAMIENTO SOCIAL,05010101005,Mejoramiento Social,04
10,10,05,02,02,02,006,5.96468449053,CHORRO BONITO,05020202006,Chorro Bonito,04
11,11,05,04,01,03,001,3.79700260453,LA GARRAPATA,05040103001,La Garrapata,04
202,202,05,01,01,01,003,0.47912087545,NORTE,05010101003,Norte,04
4171,4177,09,01,05,04,003,0.06909778297,EL RANCHO  LOS POMOS O RANCHO,09010504003,El Rancho  Los Pomos O Rancho,01
12,12,05,04,01,03,004,2.77918726821,MOCHITO,05040103004,Mochito,04
13,13,05,04,01,02,002,4.5844275323,CRUZ DE CABRERA ARRIBA,05040102002,Cruz De Cabrera Arriba,04
18,18,05,04,01,04,008,7.54378582815,EL COROZO,05040104008,El Corozo,04
14,14,05,04,01,02,003,3.50241130666,LA SIEMBRA,05040102003,La Siembra,04
15,15,05,04,01,02,004,3.60553923112,RANCHO PEDRO,05040102004,Rancho Pedro,04
16,16,05,04,01,02,005,6.54025469729,PALMA DE LOS SANTOS,05040102005,Palma De Los Santos,04
19,19,05,04,01,04,004,4.14804431274,VALLE SIMÓN,05040104004,Valle Simón,04
94,94,05,05,01,02,005,0.49099669908,INAJE,05050102005,Inaje,04
17,17,05,04,01,04,003,7.63464728908,VALLE NUEVO,05040104003,Valle Nuevo,04
103,103,05,01,01,03,003,4.22682647677,LA CERA,05010103003,La Cera,04
2685,2685,20,02,01,05,005,2.32444215623,LODO BLANDITO,20020105005,Lodo Blandito,03
20,20,05,04,01,04,007,2.07249145696,NEITA ABAJO,05040104007,Neita Abajo,04
21,21,05,04,01,04,005,2.6281940613,KILÓMETRO 1,05040104005,Kilómetro 1,04
35,35,05,04,01,05,016,2.84266000961,LA PENDA,05040105016,La Penda,04
22,22,05,04,01,04,002,3.26952687899,AGUA BLANCA,05040104002,Agua Blanca,04
23,23,05,04,01,04,001,10.1668196952,LA POCILGA,05040104001,La Pocilga,04
24,24,05,04,01,05,006,6.71462755595,LOMA DEL GUANO,05040105006,Loma Del Guano,04
